ID;In welchem Bereich arbeitest du hauptsächlich?;Wie groß ist dein Unternehmen?;In welcher Branche ist dein Unternehmen tätig?;Wie häufig nutzt du GenAI-Tools im beruflichen Umfeld?;Für welche Aufgaben setzt du GenAI hauptsächlich ein?;Welche GenAI Modelle/Tools nutzt du?;Wie schätzt du aktuell deine Kompetenz im Umgang mit GenAI ein?;Heute;In 1-3 Jahren;Wie sicher fühlst du dich bei der Einordnung der Ergebnisse von GenAI-Antworten?;Warum nutzt du keine GenAI-Tools?;In welchen Bereichen wünschst du dir Verbesserungen bei der persönlichen Nutzung von GenAI-Tools?;Bist du dir der Datenschutz-/Datensicherheitsregeln bezüglich der Nutzung von GenAI-Tools bewusst?;GenAI wird aktuell als Wachstumstreiber und als Effizienzhebel beschrieben. Wie denkst du wird sich GenAI primär in deinem Unternehmen auswirken?;In welchem Stadium befinden sich die Dir bekannten KI-Anwendungsfälle überwiegend;Was ist aktuell die größte Herausforderung beim unternehmensweiten Einsatz von (Gen)AI?;Welche Modellstrategie wird Deiner Einschätzung nach in den nächsten 5 Jahren dominieren?
177;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Finanzdienstleistungen & Versicherungen;Wöchentlich;"Prozessautomatisierung;Softwareentwicklung ;Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Fehlerrate der Modelle;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
178;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Mittleres Unternehmen (51-250 Mitarbeiter);Gesundheitswesen & Pharma;Wöchentlich;"Recherche und Wissensvermittlung;";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Datensicherheit;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Unklare Governance und regulatorische Unsicherheit;Kann ich nicht einschätzen
179;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Selten;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);Anthrophic Claude;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Keine Änderung;Negative Auswirkungen;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Fehlerrate der Modelle;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Unternehmensweiter Rollout abgeschlossen;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
180;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Bildgenerierung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"OpenAI ChatGPT;Anthrophic Claude;Andere cloudbasierte Modelle/Tools;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
181;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Energie & Versorgung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Kann ich nicht einschätzen
182;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Finanzdienstleistungen & Versicherungen;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;";"OpenAI ChatGPT;Microsoft Copilot;Google Gemini;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Akzeptanz im Team/Unternehmen;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
183;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Bugfixing;Recherche und Wissensvermittlung;";"OpenAI ChatGPT;Anthrophic Claude;";Ich habe GenAI-Tools wie ChatGPT lediglich ausprobiert.;Negative Auswirkungen;Negative Auswirkungen;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Benutzbarkeit (UI/UX);Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
184;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Mittleres Unternehmen (51-250 Mitarbeiter);Dienstleistungen, IT & Beratung;Gar nicht;;;;;;;Ich habe sie ausprobiert und finde sie nicht gut.;"Fehlerrate der Modelle;Datensicherheit;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Kann ich nicht einschätzen
185;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;";"OpenAI ChatGPT;";Ich habe GenAI-Tools wie ChatGPT lediglich ausprobiert.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Benutzbarkeit (UI/UX);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Mir ist bewusst, dass Datenschutz wichtig ist, aber ich kenne keine konkreten Regeln.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
186;Sonstiges;Kleines Unternehmen (bis 50 Mitarbeiter);Gesundheitswesen & Pharma;Gar nicht;;;;;;;Ich finde Sie besonders um beruflichen Umfeld problematisch.;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Mir ist bewusst, dass Datenschutz wichtig ist, aber ich kenne keine konkreten Regeln.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Fehlende Datenqualität und -verfügbarkeit;Kann ich nicht einschätzen
187;Support & Service;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Kosten;Datensicherheit;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
188;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Öffentlicher Sektor;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Bildgenerierung;Softwareentwicklung ;Vergleich von Produkten/Strategiealternativen;";"OpenAI ChatGPT;Microsoft Copilot;Google Gemini;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);Andere cloudbasierte Modelle/Tools;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
189;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Kleines Unternehmen (bis 50 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"Anthrophic Claude;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Mir ist bewusst, dass Datenschutz wichtig ist, aber ich kenne keine konkreten Regeln.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
190;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Gesundheitswesen & Pharma;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Datensicherheit;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Spezialisierte, kleinere Modelle für spezifische Aufgaben
191;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Prozessautomatisierung;Softwareentwicklung ;Bugfixing;Recherche und Wissensvermittlung;";"Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Datensicherheit;Fehlerrate der Modelle;Benutzbarkeit (UI/UX);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
192;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;Testfallerstellung;Bugfixing;";"OpenAI ChatGPT;Microsoft Copilot;Google Gemini;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Datensicherheit;Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Spezialisierte, kleinere Modelle für spezifische Aufgaben
193;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Softwareentwicklung ;";"Anthrophic Claude;";Ich habe GenAI-Tools wie ChatGPT lediglich ausprobiert.;Keine Änderung;Keine Änderung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Unternehmensweiter Rollout abgeschlossen;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
194;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Öffentlicher Sektor;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;Bildgenerierung;Testfallerstellung;Bugfixing;";"OpenAI ChatGPT;Anthrophic Claude;Microsoft Copilot;Google Gemini;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Mehr Integration (Email, Terminkalender, Office Tools);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
195;Management (Projekt, Produkt, Führung);Mittleres Unternehmen (51-250 Mitarbeiter);Fertigung & Industrie;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Entscheidungsautomatisierung;Bildgenerierung;Softwareentwicklung ;Testfallerstellung;";"OpenAI ChatGPT;Anthrophic Claude;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Mangel an qualifiziertem Personal und Know-how;Kann ich nicht einschätzen
196;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Mittleres Unternehmen (51-250 Mitarbeiter);Handel & E-Commerce;Gar nicht;;;;;;;Ich finde Sie besonders um beruflichen Umfeld problematisch.;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklarer Business Case / ROI-Nachweis;Spezialisierte, kleinere Modelle für spezifische Aufgaben
197;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Finanzdienstleistungen & Versicherungen;Gar nicht;;;;;;;ist nicht erlaubt;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Akzeptanz im Team/Unternehmen;Datensicherheit;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Bisher weder noch erkennbar;In Konzeption oder Entwicklung;Unklare Governance und regulatorische Unsicherheit;Kann ich nicht einschätzen
